Name,Days Since Last Practiced,Freq,Last Practiced,Tune Type,Tunes,☑️ Practiced
Basket of Turf / Hag at the Churn,9,6,"April 8, 2026",Jig,"Basket of Turf (https://www.notion.so/Basket-of-Turf-aeb7e80749444bad8b24174079f30446?pvs=21), The Hag at the Churn (https://www.notion.so/The-Hag-at-the-Churn-4621de54f6474cee9ad99dbedda88ec5?pvs=21)",
Lady Anne Montgomery / Mountain Road / Silver Spear,5,5,"April 12, 2026",Reel,"Lady Anne Montgomery (https://www.notion.so/Lady-Anne-Montgomery-aa078c94d2784c07ac1baa6174f0ed45?pvs=21), The Mountain Road (https://www.notion.so/The-Mountain-Road-93ac39c241844729911e998c0e1d351a?pvs=21), Silver Spear (https://www.notion.so/Silver-Spear-e2e7928ec26e4745a4e5c8b7bdabcd8d?pvs=21)",
Castle Jig / Old Joe’s / Anthony Frawley’s,,4,,Jig,"The Castle Jig (https://www.notion.so/The-Castle-Jig-1d304f42e3e08034b8bad8e0a0f8fd4a?pvs=21), Old Joe’s  (https://www.notion.so/Old-Joe-s-22c04f42e3e080088fe2dd9015f0cb13?pvs=21), Anthony Frawley’s  (https://www.notion.so/Anthony-Frawley-s-26704f42e3e080069a63cff952ae40a2?pvs=21)",
Goodman’s #162 / Last Night’s Fun / Sir Raymond’s Frolic,,5,,Slip Jig,"Goodman #162 (https://www.notion.so/Goodman-162-19e04f42e3e0802281d5efa27bc26872?pvs=21), Last Night's Fun (https://www.notion.so/Last-Night-s-Fun-1a204f42e3e0800db198ed176db322ae?pvs=21), Sir Raymond’s Frolic (https://www.notion.so/Sir-Raymond-s-Frolic-1a104f42e3e08085abb8fa0ab22eab95?pvs=21)",
Anniversary Polka / Daybreak / Kerry’s Bar,19,6,"March 29, 2026",Polka,"The Anniversary Polka (https://www.notion.so/The-Anniversary-Polka-23704f42e3e0806dbb32fdcdc277097e?pvs=21), Daybreak (https://www.notion.so/Daybreak-23704f42e3e0804380a5ed1066afb67c?pvs=21), Kerry Bar (https://www.notion.so/Kerry-Bar-23704f42e3e08034b97df27b6d50b073?pvs=21)",
Sliabh Luachra National Anthem,19,8,"March 29, 2026",Reel,"The Galtee Rangers (https://www.notion.so/The-Galtee-Rangers-18a04f42e3e0808f9271ee8c5b361e56?pvs=21), The Glentaun (https://www.notion.so/The-Glentaun-18d04f42e3e0804d97a4ee7610a72523?pvs=21), Callaghan’s (https://www.notion.so/Callaghan-s-19404f42e3e080daae74ee2ae0a53b44?pvs=21)",
Apples in Winter (4 Part) / Páidín Ó Raifertaigh (5 Part),43,6,"March 5, 2026",Reel,"Apples in Winter (https://www.notion.so/Apples-in-Winter-fc613a69d96e41c5bdec4a6f35359602?pvs=21), Páidín Ó Raifertaigh (5 Part) (https://www.notion.so/P-id-n-Raifertaigh-5-Part-2b904f42e3e0807795e7d1b2eb2b4dc0?pvs=21)",
Brosnas 1-3,7,5,"April 10, 2026",Slide,"Brosna Slide #1 (https://www.notion.so/Brosna-Slide-1-11d04f42e3e080819a95e4aefb1c1c90?pvs=21), Brosna Slide #2 (https://www.notion.so/Brosna-Slide-2-12204f42e3e0800bb1a6fb333a0d486b?pvs=21), Brosna Slide #3 (https://www.notion.so/Brosna-Slide-3-12504f42e3e0808aad51ee6e5efed321?pvs=21)",
"Plains of Boyle/ Scully Casey's/ Walsh's ",76,6,"January 31, 2026",Hornpipe,"The Plains of Boyle (https://www.notion.so/The-Plains-of-Boyle-edf9e246e3184e67a45e1e4659674c46?pvs=21), Scully Casey’s (https://www.notion.so/Scully-Casey-s-b7804226221b421db78adb35138ad1cb?pvs=21), Walsh’s (https://www.notion.so/Walsh-s-f07cf55122f1491587a235a7b348d69c?pvs=21)",
Ships in Full Sail / Frost is All Over / The Legacy,28,6,"March 20, 2026",Jig,"Ships in Full Sail (https://www.notion.so/Ships-in-Full-Sail-2e104f42e3e080c88cd2f5f73107d0df?pvs=21), The Frost Is All Over (https://www.notion.so/The-Frost-Is-All-Over-cf80aaae2d6c47b1ad7528afb0650714?pvs=21), The Legacy  (https://www.notion.so/The-Legacy-27c04f42e3e080ddbe1dfd8a3bcd9d53?pvs=21)",
Golden Keyboard / Earl’s Chair / Lucy Campell,58,6,"February 18, 2026",Reel,"The Golden Keyboard (https://www.notion.so/The-Golden-Keyboard-11704f42e3e08034b122d622cc09c1a8?pvs=21), The Earl's Chair (https://www.notion.so/The-Earl-s-Chair-2c304f42e3e0803aa1a4e31afe6ba22e?pvs=21), Lucy Campbell (https://www.notion.so/Lucy-Campbell-2e604f42e3e080dc9033eb635534f58e?pvs=21)",
Love At The Endings / Merry Blacksmith / The Banshee,,5,,Reel,"Love At the Endings (https://www.notion.so/Love-At-the-Endings-9be0742265a9421b97b9e00adba0be62?pvs=21), The Merry Blacksmith (https://www.notion.so/The-Merry-Blacksmith-7fc90e60cbb946799ee90a236074044b?pvs=21), The Banshee (https://www.notion.so/The-Banshee-14a04f42e3e080cd821cc9f1d7a173d1?pvs=21)",
Promenade / Comb Your Hair and Curl It / Boys of Ballisodare / Cucanandy,16,6,"April 1, 2026",Hop Jig,"The Promenade (https://www.notion.so/The-Promenade-72049f27c596464cb9f1b2dfb132d429?pvs=21), Comb Your Hair and Curl It (https://www.notion.so/Comb-Your-Hair-and-Curl-It-5591068a74424c239af21f41fb1a2387?pvs=21), The Boys of Ballisodare (https://www.notion.so/The-Boys-of-Ballisodare-d3fce4def8df43778acfbbd3c94575ab?pvs=21), The Cucanandy  (https://www.notion.so/The-Cucanandy-cd2e000a96424f8ebe1a7a81e4c108d0?pvs=21)",
Connie Vincent Polka Set,23,6,"March 25, 2026",Polka,"Connie Vincent's (https://www.notion.so/Connie-Vincent-s-2ca04f42e3e080aba938e58c903927f3?pvs=21), Gleanntán Cross (https://www.notion.so/Gleannt-n-Cross-2f404f42e3e080c188b6dc0cfbc269d2?pvs=21), The Rolling Wave (polka) (https://www.notion.so/The-Rolling-Wave-polka-2f004f42e3e08034a05ad1e72b4e7712?pvs=21)",
Reel of Rio / Jack Coughlan’s Fancy / Humours of Tulla,53,5,"February 23, 2026",Reel,"Reel of Rio (https://www.notion.so/Reel-of-Rio-16a1a90c34794ca99b0b75a0ed7d81d2?pvs=21), Jack Coughlan’s Fancy (https://www.notion.so/Jack-Coughlan-s-Fancy-11504f42e3e080349da1fdbb36f79fd2?pvs=21), Humours of Tulla (https://www.notion.so/Humours-of-Tulla-25d04f42e3e0809d8feed8590d4a1c26?pvs=21)",
